,indicID,indicName,nameEN,dyCD,parentID,isList,frequency,unit,statType,accuracy,region,country,currency,importance,infoSource,memoCN,dataApiID,dataApiName,beginDate,endDate,isUpdate
0,1010000004,GDP:现价:累计值,GDP: at Current Prices: Cumulative,M010000004,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,按可比价计算,2975,getEcoDataChina,1952-12-31,2021-12-31,1
1,1010000005,GDP:现价:第一产业:累计值,GDP: at Current Prices: Primary Industry: Cumulative,M010000005,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,根据2012年制定的《三次产业划分规定》、第一产业是指农、林、牧、渔业(不含农、林、牧、渔服务业)。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
2,1010000006,GDP:现价:第一产业:农林牧渔业:累计值,"GDP: at Current Prices: Agriculture,Forestry,Animal Husbandry and Fishery: Cumulative",M010000006,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,,2975,getEcoDataChina,1952-12-31,2021-12-31,1
3,1010000007,GDP:现价:第二产业:累计值,GDP: at Current Prices: Secondary Industry: Cumulative,M010000007,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,根据2012年制定的《三次产业划分规定》、第二产业是指采矿业(不含开采辅助活动)、制造业(不含金属制品、机械和设备修理业)、电力、热力、燃气及水生产和供应业。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
4,1010000008,GDP:现价:第二产业:工业:累计值,GDP: at Current Prices: Industry: Cumulative,M010000008,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,"工业增加值是指工业企业在报告期内以货币形式表现的从事工业生产活动的最终成果。工业增加值有两种计算方法:一是生产法,即工业总产出减去工业中间投入加上应交增值税;二是收入法,即从收入的角度出发,根据生产要素在生产过程中应得到的收入份额计算,具体构成项目有固定资产折旧、劳动者报酬、生产税净额、营业盈余。",2975,getEcoDataChina,1952-12-31,2021-12-31,1
5,1010000009,GDP:现价:第二产业:建筑业:累计值,GDP: at Current Prices: Construction: Cumulative,M010000009,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,"建筑业增加值是指建筑业企业在报告期内以货币形式表现的从事建筑业生产活动的最终成果。目前建筑业增加值采用收入法计算,即从收入的角度出发,根据生产要素在生产过程中应得的收入份额计算。",2975,getEcoDataChina,1952-12-31,2021-12-31,1
6,1010000010,GDP:现价:第三产业:累计值,GDP: at Current Prices: Tertiary Industry: Cumulative,M010000010,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,根据2012年制定的《三次产业划分规定》、第三产业即服务业、是指除第一产业、第二产业以外的其他行业。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
7,1010000011,GDP:现价:第三产业:交通运输、仓储和邮政业:累计值,"GDP: at Current Prices: Transport,Storage and Post: Cumulative",M010000011,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,交通运输、仓储和邮政业增加值是指按市场价格计算的一个国家(或地区)所有常住单位在一定时期内从事交通运输、仓储和邮政业生产活动的最终成果。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
8,1010000012,GDP:现价:第三产业:批发和零售业:累计值,GDP: at Current Prices: Wholesale and Retail Trades: Cumulative,M010000012,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,批发和零售业增加值是指按市场价格计算的一个国家(或地区)所有常住单位在一定时期内从事批发和零售业生产活动的最终成果。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
9,1010000013,GDP:现价:第三产业:住宿和餐饮业:累计值,GDP: at Current Prices: Hotels and Catering Services: Cumulative,M010000013,M010000003,0,季,亿元,累计值,2,全国,中国,人民币元,比较重要,国家统计局,住宿和餐饮业增加值是指按市场价格计算的一个国家(或地区)所有常住单位在一定时期内从事住宿和餐饮业生产活动的最终成果。,2975,getEcoDataChina,1952-12-31,2021-12-31,1
