,secID,publishDate,endDate,endDateRep,partyID,ticker,secShortName,exchangeCD,actPubtime,mergedFlag,reportType,fiscalPeriod,accoutingStandards,currencyCD,cashCEquiv,settProv,loanToOthBankFi,tradingFA,NotesReceiv,AR,prepayment,premiumReceiv,reinsurReceiv,reinsurReserReceiv,intReceiv,divReceiv,othReceiv,purResaleFa,inventories,NCAWithin1Y,othCA,TCA,disburLA,availForSaleFa,htmInvest,LTReceive,LTEquityInvest,investRealEstate,fixedAssets,CIP,constMaterials,fixedAssetsDisp,producBiolAssets,oilAndGasAssets,intanAssets,RD,goodwill,LTAmorExp,deferTaxAssets,othNCA,TNCA,TAssets,STBorr,CBBorr,depos,loanFrOthBankFi,tradingFL,NotesPayable,AP,advanceReceipts,soldForRepurFa,commisPayable,payrollPayable,taxesPayable,intPayable,divPayable,othPayable,reinsurPayable,insurReser,fundsSecTradAgen,fundsSecUndwAgen,NCLWithin1Y,othCL,TCL,LTBorr,bondPayable,preferredStockL,perpetualBondL,LTPayable,specificPayables,estimatedLiab,deferTaxLiab,othNCL,TNCL,TLiab,paidInCapital,othEquityInstr,preferredStockE,perpetualBondE,capitalReser,treasuryShare,othCompreIncome,specialReser,surplusReser,ordinRiskReser,retainedEarnings,forexDiffer,TEquityAttrP,minorityInt,TShEquity,TLiabEquity,deferRevenue
0,000848.XSHE,2021-10-20,2021-09-30,2021-09-30,395,000848,承德露露,XSHE,2021-10-19 17:32:45,1,Q3,9,CHAS_2007,CNY,2142299864.65,,,,,,11569623.33,,,,,,,,103879327.42,,275018.71,2258102216.12,,,,,2480357.27,,203521111.58,24180920.73,,,,,290658148.86,,,112639.88,19901434.64,,540854612.96,2798956829.08,,,,,,,279456187.9,,,,53389844.5,60223256.9,,,,,,,,,13207857.39,522512828.1,,,,,,,,52460498.66,,52460498.66,574973326.76,1076419000,,,,17293295.59,170895673.04,-675000.0,,482367364.09,,783210455.52,,2187719442.16,36264060.16,2223983502.32,2798956829.08,
1,000848.XSHE,2021-08-13,2021-06-30,2021-06-30,395,000848,承德露露,XSHE,2021-08-12 19:16:46,1,S1,6,CHAS_2007,CNY,2030420466.01,,,,,550.0,11524047.81,,,,,,80753.62,,52829883.11,,238417.68,2095094118.23,,,,,2480357.27,,207585986.71,21891929.47,,,,,292366586.16,,,154165.28,8323735.96,,532802760.85,2627896879.08,,,,,,,271346719.15,,,,52212977.04,30338428.71,,,16308106.43,,,,,,11257423.8,468059222.84,,,,,,,,52460498.66,,52460498.66,520519721.5,1076419000,,,,17293295.59,170895673.04,-675000.0,,482367364.09,,666428899.99,,2070937886.63,36439270.95,2107377157.58,2627896879.08,
2,000848.XSHE,2021-04-29,2021-03-31,2021-03-31,395,000848,承德露露,XSHE,2021-04-28 19:50:06,1,Q1,3,CHAS_2007,CNY,2333868597.87,,,,,276222.0,11375870.73,,,,,,,,61506690.41,,244550.68,2407357170.63,,,,,2547658.76,,212836198.15,19875148.7,,,,,294075023.46,,,97591.57,11021692.83,,540453313.47,2947810484.1,,,,,,,268325427.91,,,,49939178.98,88229888.11,,,,,,,,,16084526.8,574082420.21,,,,,,,,52460498.66,,52460498.66,626542918.87,1076419000,,,,17294400.0,158267802.77,-675000.0,,482367364.09,,867577817.38,,2284715778.7,36551786.53,2321267565.23,2947810484.1,
3,000848.XSHE,2021-10-20,2020-12-31,2021-09-30,395,000848,承德露露,XSHE,2021-10-19 17:32:45,1,A,12,CHAS_2007,CNY,2341879623.83,,,,,500000.0,11241242.49,,,,,,,,193238951.37,,390916.46,2547353983.51,,,,,2547658.76,,217837144.05,19870148.7,,,,,295783460.75,,,151366.99,9389678.05,,545579457.3,3092933440.81,,,,,,,194130326.39,,,,53228407.53,53334825.35,,,,,,,,,54503000.07,802376902.19,,,,,,,,52460498.66,,52460498.66,854837400.85,1076419000,,,,17305722.58,29996843.32,-675000.0,,482367364.09,,655967524.09,,2201387767.44,36708272.52,2238096039.96,3092933440.81,
4,000848.XSHE,2020-10-26,2020-09-30,2020-09-30,395,000848,承德露露,XSHE,2020-10-25 16:06:47,1,Q3,9,CHAS_2007,CNY,1946538121.58,,,,,,11627039.12,,,,,,,,55243486.85,,478029.06,2014018728.26,,,,,3016781.04,,218764005.34,32339149.15,,,,,291047317.07,,,204517.62,5267105.94,,551538876.16,2565557604.42,,,,,,,256894010.78,,,,47800690.02,57134260.47,,,,,,,,,,406765656.33,,,,,,,,51458306.81,,51458306.81,458223963.14,1076419000,,,,17305722.58,29996843.32,,,437540706.75,,568801824.56,,2070070410.57,37263230.71,2107333641.28,2565557604.42,
5,000848.XSHE,2020-08-15,2020-06-30,2020-06-30,395,000848,承德露露,XSHE,2020-08-14 15:46:41,1,S1,6,CHAS_2007,CNY,1780866590.14,,,,,19641.2,11511919.28,,,,,,186930.79,,51975736.46,,483074.07,1845043891.94,,,,,3016781.04,,221984093.49,28046895.96,,,,,292595971.37,,,269599.72,3243635.3,,550056976.88,2395100868.82,,,,,,,193637677.94,,,,37107638.08,16153566.19,,,8878359.98,,,,,,,323274419.98,,,,,,,,51458306.81,,51458306.81,374732726.79,1076419000,,,,17306575.95,19997550.96,,,437540706.75,,471845484.26,,1983114216.0,37253926.03,2020368142.03,2395100868.82,
6,000848.XSHE,2020-04-25,2020-03-31,2020-03-31,395,000848,承德露露,XSHE,2020-04-24 15:46:35,1,Q1,3,CHAS_2007,CNY,2037181039.52,,,,,69410.0,11652607.9,,,,,,,,77663365.87,,207972.64,2126934073.57,,,,,2009380.13,,226054634.47,27869461.14,,,,,294470442.67,,,217462.73,7604864.6,,559126245.74,2686060319.31,,,,,,,243425919.77,,,,30284754.73,59108780.82,,,,,,,,,,419233208.09,,,,,,,,51458306.81,,51458306.81,470691514.9,978562728,,,,17308439.11,,,,437540706.75,,744380955.54,,2177792829.4,37575975.01,2215368804.41,2686060319.31,
7,000848.XSHE,2021-04-27,2019-12-31,2020-12-31,395,000848,承德露露,XSHE,2021-04-26 20:20:35,1,A,12,CHAS_2007,CNY,2203622278.61,,,,,,12387171.08,,,,,,151453.02,,313358445.22,,1126998.37,2530646346.3,,,,,2009380.13,,230366224.5,27850435.61,,,,,296996835.97,,,319530.68,16412902.06,,574855308.95,3105501655.25,,,,,,,217608965.6,665504266.84,,,55309779.33,52705731.46,,,31915964.11,,,,,,,1023044707.34,,,,,,,,51458306.81,,51458306.81,1074503014.15,978562728,,,,17308439.11,,,,437540706.75,,562174423.56,,1995586297.42,35412343.68,2030998641.1,3105501655.25,
8,000848.XSHE,2019-10-23,2019-09-30,2019-09-30,395,000848,承德露露,XSHE,2019-10-22 16:13:06,1,Q3,9,CHAS_2007,CNY,1643183169.89,,,,,34869.53,11932649.26,,,,,,,,120058399.25,,1294065.79,1776817886.6,,,,,2313389.42,,234325318.52,28362233.71,,,,,299523229.27,,2814000.0,430869.59,1916368.49,,570585409.0,2347403295.6,,,,,,,178118174.7,82873456.82,,,36092858.49,59647370.41,,,,,,,,,,369986797.6,,,,,,,,49682500.0,,49682500.0,419669297.6,978562728,,,,17308439.11,,,,400737142.12,,496937235.38,,1893545544.61,34188453.39,1927733998.0,2347403295.6,
9,000848.XSHE,2019-08-08,2019-06-30,2019-06-30,395,000848,承德露露,XSHE,2019-08-07 16:08:40,1,S1,6,CHAS_2007,CNY,1449304875.83,,,,,607599.26,25651465.08,,,,,,340003.51,,114712452.35,,525139.07,1591141535.1,,,,,2793428.57,,238888612.57,25939530.45,,,,,302049622.57,,2814000.0,535174.19,4951908.73,,578872277.08,2170013812.18,,,,,,,96284744.55,131417808.81,,,35397662.91,15790226.53,,,13835697.52,,,,,,,292726140.32,,,,,,,,49682500.0,,49682500.0,342408640.32,978562728,,,,17308439.11,,,,400737142.12,,396382897.11,,1792991206.34,34613965.52,1827605171.86,2170013812.18,
