,secID,partyID,ticker,secShortName,exchangeCD,endDate,grossMARgin,npMARgin,ROE,ROEA,ROEW,ROECut,ROECutW,ROA,ROAEBIT,ROIC
0,000848.XSHE,395,000848,承德露露,XSHE,2020-12-31,50.1253,23.2976,19.6326,20.5952,20.9,19.5167,20.78,13.9869,17.8292,17.3642
1,000848.XSHE,395,000848,承德露露,XSHE,2019-12-31,52.6155,20.655,23.2948,23.7315,24.55,23.3179,24.57,15.6632,20.0505,22.5374
2,000848.XSHE,395,000848,承德露露,XSHE,2018-12-31,50.7576,19.4464,21.4894,21.0716,21.99,21.5021,22.0,14.5953,18.4918,19.6902
3,000848.XSHE,395,000848,承德露露,XSHE,2017-12-31,47.2523,19.7993,20.6968,20.8123,21.52,20.7097,21.13,14.1549,18.331,19.9975
4,000848.XSHE,395,000848,承德露露,XSHE,2016-12-31,43.9381,18.0778,22.7896,24.6603,24.83,22.9252,24.98,16.3115,21.0493,23.7622
5,000848.XSHE,395,000848,承德露露,XSHE,2015-12-31,43.4911,17.3149,27.6331,30.9868,31.16,27.2031,30.68,21.5826,27.8336,29.8949
6,000848.XSHE,395,000848,承德露露,XSHE,2014-12-31,41.5377,16.6531,33.741,38.1348,38.13,32.988,37.28,24.1589,31.4034,37.0161
7,000848.XSHE,395,000848,承德露露,XSHE,2013-12-31,38.1821,13.0488,33.0363,36.9371,36.53,31.9186,35.3,20.0727,26.2702,36.1794
8,000848.XSHE,395,000848,承德露露,XSHE,2012-12-31,38.2224,10.6488,27.8968,28.6136,28.06,27.4715,27.64,14.953,20.0414,27.9632
9,000848.XSHE,395,000848,承德露露,XSHE,2011-12-31,33.6165,10.0416,25.5372,25.7228,26.25,25.1041,25.87,13.5684,17.6128,24.7137
10,000848.XSHE,395,000848,承德露露,XSHE,2010-12-31,34.2219,9.8461,23.9081,25.6693,23.92,23.8775,23.89,14.3818,19.0401,24.6695
11,000848.XSHE,395,000848,承德露露,XSHE,2009-12-31,34.1465,10.6457,21.5353,22.6365,22.64,21.7034,22.81,13.2732,18.2106,21.3393
12,000848.XSHE,395,000848,承德露露,XSHE,2008-12-31,28.9822,7.6511,18.8937,19.4595,19.68,19.2044,20.01,11.1712,15.2635,17.575
13,000848.XSHE,395,000848,承德露露,XSHE,2007-12-31,30.5992,6.5865,15.9441,17.0575,17.11,20.5852,,8.5517,15.7502,13.232
14,000848.XSHE,395,000848,承德露露,XSHE,2006-12-31,32.3741,6.9665,14.461,11.5238,,13.7666,,6.8824,12.3631,10.0414
15,000848.XSHE,395,000848,承德露露,XSHE,2005-12-31,30.1138,4.1167,5.9692,5.9323,,6.0424,,4.2837,9.2237,5.2957
16,000848.XSHE,395,000848,承德露露,XSHE,2004-12-31,32.0541,4.3337,5.0953,5.0441,,6.8636,,3.6763,6.7315,4.9397
17,000848.XSHE,395,000848,承德露露,XSHE,2003-12-31,33.5014,3.3707,3.7988,3.8725,,4.6761,,3.1332,6.5186,4.4242
18,000848.XSHE,395,000848,承德露露,XSHE,2002-12-31,26.8853,4.6931,7.2207,,,8.9198,,,,
