index,secID,industryID2,industryName2
1,000001.XSHE,0103032101,银行
9,000002.XSHE,0103032001,房地产开发
17,000004.XSHE,0103032502,计算机应用
18,000005.XSHE,0103031804,环保工程及服务
25,000006.XSHE,0103032001,房地产开发
34,000007.XSHE,0103032303,商业物业经营
41,000008.XSHE,0103030905,运输设备
50,000009.XSHE,0103032801,综合
51,000010.XSHE,0103030703,园林工程
57,000011.XSHE,0103032001,房地产开发
59,000012.XSHE,0103030602,玻璃制造
65,000014.XSHE,0103032001,房地产开发
69,000016.XSHE,0103031302,视听器材
73,000017.XSHE,0103031104,其他交运设备
81,000019.XSHE,0103032304,贸易
85,000020.XSHE,0103031205,电子制造
86,000021.XSHE,0103031205,电子制造
91,000023.XSHE,0103030603,其他建材
97,000025.XSHE,0103031103,汽车服务
105,000026.XSHE,0103031603,家用轻工
108,000027.XSHE,0103031801,电力
116,000028.XSHE,0103031704,医药商业
121,000029.XSHE,0103032001,房地产开发
125,000030.XSHE,0103031102,汽车零部件
133,000031.XSHE,0103032001,房地产开发
137,000032.XSHE,0103032702,通信设备
146,000034.XSHE,0103032502,计算机应用
150,000035.XSHE,0103031804,环保工程及服务
161,000036.XSHE,0103032001,房地产开发
165,000037.XSHE,0103031801,电力
171,000038.XSHE,0103032602,营销传播
174,000039.XSHE,0103030904,金属制品
177,000040.XSHE,0103031801,电力
186,000042.XSHE,0103032001,房地产开发
189,000045.XSHE,0103031203,光学光电子
198,000046.XSHE,0103032203,多元金融
199,000048.XSHE,0103030104,饲料
210,000049.XSHE,0103031205,电子制造
216,000050.XSHE,0103031203,光学光电子
220,000055.XSHE,0103030705,专业工程
226,000056.XSHE,0103032001,房地产开发
238,000058.XSHE,0103032303,商业物业经营
242,000059.XSHE,0103030301,石油化工
247,000060.XSHE,0103030501,工业金属
254,000061.XSHE,0103032303,商业物业经营
258,000062.XSHE,0103031204,其他电子
266,000063.XSHE,0103032702,通信设备
270,000065.XSHE,0103030705,专业工程
276,000066.XSHE,0103032501,计算机设备
283,000068.XSHE,0103031804,环保工程及服务
286,000069.XSHE,0103032001,房地产开发
294,000070.XSHE,0103032702,通信设备
303,000078.XSHE,0103031704,医药商业
308,000088.XSHE,0103031902,高速公路
310,000089.XSHE,0103031905,机场
314,000090.XSHE,0103032001,房地产开发
320,000096.XSHE,0103030301,石油化工
330,000099.XSHE,0103031904,航空运输
331,000100.XSHE,0103031203,光学光电子
336,000150.XSHE,0103031706,医疗服务
342,000151.XSHE,0103032304,贸易
346,000153.XSHE,0103031701,化学制药
354,000155.XSHE,0103031801,电力
359,000156.XSHE,0103032601,文化传媒
361,000157.XSHE,0103030902,专用设备
368,000158.XSHE,0103032502,计算机应用
373,000159.XSHE,0103030301,石油化工
375,000166.XSHE,0103032201,证券
376,000301.XSHE,0103030304,化学纤维
384,000333.XSHE,0103031301,白色家电
386,000338.XSHE,0103031102,汽车零部件
391,000400.XSHE,0103030802,电气自动化设备
398,000401.XSHE,0103030601,水泥制造
403,000402.XSHE,0103032001,房地产开发
410,000403.XSHE,0103031703,生物制品
414,000404.XSHE,0103031301,白色家电
421,000407.XSHE,0103031803,燃气
422,000408.XSHE,0103030303,化学制品
434,000409.XSHE,0103032801,综合
437,000410.XSHE,0103030901,通用机械
446,000411.XSHE,0103031704,医药商业
450,000413.XSHE,0103031203,光学光电子
454,000415.XSHE,0103032203,多元金融
463,000416.XSHE,0103032203,多元金融
467,000417.XSHE,0103032301,一般零售
473,000419.XSHE,0103032301,一般零售
478,000420.XSHE,0103030304,化学纤维
481,000421.XSHE,0103031803,燃气
486,000422.XSHE,0103030302,化学原料
493,000423.XSHE,0103031702,中药
497,000425.XSHE,0103030902,专用设备
501,000426.XSHE,0103030501,工业金属
512,000428.XSHE,0103032402,酒店
518,000429.XSHE,0103031902,高速公路
524,000430.XSHE,0103032401,景点
530,000488.XSHE,0103031601,造纸
537,000498.XSHE,0103030704,基础建设
539,000501.XSHE,0103032301,一般零售
546,000502.XSHE,0103032001,房地产开发
553,000503.XSHE,0103031706,医疗服务
559,000504.XSHE,0103031703,生物制品
564,000505.XSHE,0103030105,农产品加工
575,000506.XSHE,0103032001,房地产开发
577,000507.XSHE,0103031901,港口
582,000509.XSHE,0103031706,医疗服务
587,000510.XSHE,0103030302,化学原料
591,000513.XSHE,0103031701,化学制药
599,000514.XSHE,0103032001,房地产开发
600,000516.XSHE,0103031706,医疗服务
607,000517.XSHE,0103032001,房地产开发
615,000518.XSHE,0103031703,生物制品
619,000519.XSHE,0103031003,地面兵装
627,000520.XSHE,0103031906,航运
630,000521.XSHE,0103031301,白色家电
635,000523.XSHE,0103030303,化学制品
645,000524.XSHE,0103032403,旅游综合
647,000525.XSHE,0103030303,化学制品
656,000526.XSHE,0103032603,互联网传媒
657,000528.XSHE,0103030902,专用设备
664,000529.XSHE,0103032601,文化传媒
667,000530.XSHE,0103030901,通用机械
673,000531.XSHE,0103031801,电力
679,000532.XSHE,0103031202,元件
683,000533.XSHE,0103030804,高低压设备
689,000534.XSHE,0103031703,生物制品
699,000536.XSHE,0103031203,光学光电子
703,000537.XSHE,0103032001,房地产开发
711,000538.XSHE,0103031702,中药
715,000539.XSHE,0103031801,电力
718,000540.XSHE,0103032001,房地产开发
724,000541.XSHE,0103031203,光学光电子
730,000543.XSHE,0103031801,电力
735,000544.XSHE,0103031802,水务
740,000545.XSHE,0103030302,化学原料
745,000546.XSHE,0103030601,水泥制造
752,000547.XSHE,0103031003,地面兵装
759,000548.XSHE,0103031902,高速公路
761,000550.XSHE,0103031101,汽车整车
766,000551.XSHE,0103030902,专用设备
775,000552.XSHE,0103030202,煤炭开采
779,000553.XSHE,0103030303,化学制品
787,000554.XSHE,0103030301,石油化工
794,000555.XSHE,0103032502,计算机应用
806,000557.XSHE,0103031907,铁路运输
811,000558.XSHE,0103032001,房地产开发
812,000559.XSHE,0103031102,汽车零部件
817,000560.XSHE,0103032001,房地产开发
825,000561.XSHE,0103031002,航空装备
833,000563.XSHE,0103032203,多元金融
837,000564.XSHE,0103032301,一般零售
843,000565.XSHE,0103030303,化学制品
847,000566.XSHE,0103031701,化学制药
856,000567.XSHE,0103032203,多元金融
862,000568.XSHE,0103031402,饮料制造
865,000570.XSHE,0103030901,通用机械
869,000571.XSHE,0103030202,煤炭开采
873,000572.XSHE,0103031101,汽车整车
883,000573.XSHE,0103032001,房地产开发
886,000576.XSHE,0103031003,地面兵装
892,000581.XSHE,0103031102,汽车零部件
902,000582.XSHE,0103031901,港口
907,000584.XSHE,0103030902,专用设备
909,000585.XSHE,0103030804,高低压设备
915,000586.XSHE,0103032702,通信设备
921,000587.XSHE,0103031603,家用轻工
925,000589.XSHE,0103030306,橡胶
929,000590.XSHE,0103031702,中药
937,000591.XSHE,0103031801,电力
938,000592.XSHE,0103030103,林业
945,000593.XSHE,0103031803,燃气
952,000595.XSHE,0103030901,通用机械
959,000596.XSHE,0103031402,饮料制造
970,000597.XSHE,0103031701,化学制药
974,000598.XSHE,0103031802,水务
980,000599.XSHE,0103030306,橡胶
985,000600.XSHE,0103031801,电力
996,000601.XSHE,0103031801,电力
997,000603.XSHE,0103030501,工业金属
1007,000605.XSHE,0103031802,水务
1014,000606.XSHE,0103032502,计算机应用
1019,000607.XSHE,0103032602,营销传播
1025,000608.XSHE,0103032001,房地产开发
1029,000609.XSHE,0103032001,房地产开发
1030,000610.XSHE,0103032402,酒店
1037,000611.XSHE,0103031501,纺织制造
1045,000612.XSHE,0103030501,工业金属
1056,000613.XSHE,0103032402,酒店
1063,000615.XSHE,0103032001,房地产开发
1065,000616.XSHE,0103032001,房地产开发
1070,000617.XSHE,0103032203,多元金融
1075,000619.XSHE,0103030603,其他建材
1085,000620.XSHE,0103032001,房地产开发
1089,000622.XSHE,0103031102,汽车零部件
1094,000623.XSHE,0103031701,化学制药
1101,000625.XSHE,0103031101,汽车整车
1109,000626.XSHE,0103032304,贸易
1115,000627.XSHE,0103032202,保险
1116,000628.XSHE,0103030701,房屋建设
1122,000629.XSHE,0103030203,其他采掘
1127,000630.XSHE,0103030501,工业金属
1131,000631.XSHE,0103032001,房地产开发
1136,000632.XSHE,0103032801,综合
1141,000633.XSHE,0103030504,金属非金属新材料
1148,000635.XSHE,0103030302,化学原料
1152,000636.XSHE,0103031202,元件
1163,000637.XSHE,0103030301,石油化工
1170,000638.XSHE,0103032801,综合
1173,000639.XSHE,0103031401,食品加工
1179,000650.XSHE,0103031702,中药
1183,000651.XSHE,0103031301,白色家电
1190,000652.XSHE,0103032801,综合
1195,000655.XSHE,0103030203,其他采掘
1203,000656.XSHE,0103032001,房地产开发
1204,000657.XSHE,0103030503,稀有金属
1211,000659.XSHE,0103031602,包装印刷
1219,000661.XSHE,0103031703,生物制品
1223,000663.XSHE,0103031603,家用轻工
1226,000665.XSHE,0103032601,文化传媒
1228,000666.XSHE,0103032203,多元金融
1235,000667.XSHE,0103032001,房地产开发
1243,000668.XSHE,0103032001,房地产开发
1247,000669.XSHE,0103031803,燃气
1254,000670.XSHE,0103031201,半导体
1267,000671.XSHE,0103032001,房地产开发
1272,000672.XSHE,0103030601,水泥制造
1274,000673.XSHE,0103032601,文化传媒
1281,000676.XSHE,0103032603,互联网传媒
1285,000677.XSHE,0103030304,化学纤维
1291,000678.XSHE,0103031102,汽车零部件
1295,000679.XSHE,0103032001,房地产开发
1302,000680.XSHE,0103030902,专用设备
1310,000681.XSHE,0103032603,互联网传媒
1312,000682.XSHE,0103030802,电气自动化设备
1320,000683.XSHE,0103030302,化学原料
1324,000685.XSHE,0103031802,水务
1329,000686.XSHE,0103032201,证券
1336,000687.XSHE,0103031002,航空装备
1338,000688.XSHE,0103030501,工业金属
1348,000690.XSHE,0103031801,电力
1350,000691.XSHE,0103032001,房地产开发
1356,000692.XSHE,0103031801,电力
1359,000695.XSHE,0103031602,包装印刷
1366,000697.XSHE,0103031002,航空装备
1372,000698.XSHE,0103030301,石油化工
1376,000700.XSHE,0103031102,汽车零部件
1380,000701.XSHE,0103031202,元件
1388,000702.XSHE,0103030104,饲料
1392,000703.XSHE,0103030304,化学纤维
1400,000705.XSHE,0103031704,医药商业
1403,000707.XSHE,0103030302,化学原料
1408,000708.XSHE,0103030401,钢铁
1412,000709.XSHE,0103030401,钢铁
1416,000710.XSHE,0103031705,医疗器械
1422,000711.XSHE,0103031804,环保工程及服务
1433,000712.XSHE,0103032201,证券
1436,000713.XSHE,0103030101,种植业
1438,000715.XSHE,0103032301,一般零售
1444,000716.XSHE,0103031401,食品加工
1452,000717.XSHE,0103030401,钢铁
1456,000718.XSHE,0103032001,房地产开发
1462,000719.XSHE,0103032601,文化传媒
1464,000720.XSHE,0103031801,电力
1475,000721.XSHE,0103032404,餐饮
1481,000722.XSHE,0103031801,电力
1484,000723.XSHE,0103030202,煤炭开采
1491,000725.XSHE,0103031203,光学光电子
1496,000726.XSHE,0103031501,纺织制造
1504,000727.XSHE,0103031203,光学光电子
1506,000728.XSHE,0103032201,证券
1512,000729.XSHE,0103031402,饮料制造
1516,000731.XSHE,0103030303,化学制品
1522,000732.XSHE,0103032001,房地产开发
1524,000733.XSHE,0103031202,元件
1531,000735.XSHE,0103030107,畜禽养殖
1532,000736.XSHE,0103032001,房地产开发
1540,000737.XSHE,0103030303,化学制品
1541,000738.XSHE,0103031002,航空装备
1548,000739.XSHE,0103031701,化学制药
1553,000750.XSHE,0103032201,证券
1557,000751.XSHE,0103030501,工业金属
1564,000752.XSHE,0103031402,饮料制造
1566,000753.XSHE,0103031103,汽车服务
1580,000755.XSHE,0103031902,高速公路
1584,000756.XSHE,0103031701,化学制药
1585,000757.XSHE,0103031102,汽车零部件
1592,000758.XSHE,0103030501,工业金属
1598,000759.XSHE,0103032301,一般零售
1604,000761.XSHE,0103030401,钢铁
1608,000762.XSHE,0103030203,其他采掘
1612,000766.XSHE,0103031701,化学制药
1620,000767.XSHE,0103031801,电力
1624,000768.XSHE,0103031002,航空装备
1629,000776.XSHE,0103032201,证券
1633,000777.XSHE,0103030901,通用机械
1637,000778.XSHE,0103030401,钢铁
1642,000779.XSHE,0103030704,基础建设
1648,000782.XSHE,0103030304,化学纤维
1652,000783.XSHE,0103032201,证券
1656,000785.XSHE,0103032301,一般零售
1664,000786.XSHE,0103030603,其他建材
1673,000788.XSHE,0103031701,化学制药
