index,secID,secShortName,tradeDate,marketValue
0,000001.XSHE,平安银行,2022-02-25,3.0855409938e+11
1,000002.XSHE,万科A,2022-02-25,2.27043737802e+11
2,000004.XSHE,国华网安,2022-02-25,3396187487.0
3,000005.XSHE,ST星源,2022-02-25,2328780960.0
4,000006.XSHE,深振业A,2022-02-25,5899478150.0
5,000007.XSHE,*ST全新,2022-02-25,2283092320.0
6,000008.XSHE,神州高铁,2022-02-25,7786227120.0
7,000009.XSHE,中国宝安,2022-02-25,36108994600.0
8,000010.XSHE,美丽生态,2022-02-25,3025263843.0
9,000011.XSHE,深物业A,2022-02-25,6514051563.0
10,000012.XSHE,南玻A,2022-02-25,25640279035.0
11,000014.XSHE,沙河股份,2022-02-25,1797193332.0
12,000016.XSHE,深康佳A,2022-02-25,13917924412.0
13,000017.XSHE,深中华A,2022-02-25,2205392000.0
14,000019.XSHE,深粮控股,2022-02-25,8701640760.0
15,000020.XSHE,深华发A,2022-02-25,2803295880.0
16,000021.XSHE,深科技,2022-02-25,21364444244.0
17,000023.XSHE,深天地A,2022-02-25,1784404732.0
18,000025.XSHE,特力A,2022-02-25,6125338443.0
19,000026.XSHE,飞亚达,2022-02-25,4729166100.0
20,000027.XSHE,深圳能源,2022-02-25,34205633381.0
21,000028.XSHE,国药一致,2022-02-25,14312285610.0
22,000029.XSHE,深深房A,2022-02-25,7698732600.0
23,000030.XSHE,富奥股份,2022-02-25,11297845728.0
24,000031.XSHE,大悦城,2022-02-25,17145253200.0
25,000032.XSHE,深桑达A,2022-02-25,25860894408.0
26,000034.XSHE,神州数码,2022-02-25,10968738840.0
27,000035.XSHE,中国天楹,2022-02-25,14865048297.0
28,000036.XSHE,华联控股,2022-02-25,5817021672.0
29,000037.XSHE,深南电A,2022-02-25,4165089538.36
30,000038.XSHE,深大通,2022-02-25,4490658725.0
31,000039.XSHE,中集集团,2022-02-25,53206201280.0
32,000040.XSHE,东旭蓝天,2022-02-25,4981027565.0
33,000042.XSHE,中洲控股,2022-02-25,5351891160.0
34,000045.XSHE,深纺织A,2022-02-25,4285174428.0
35,000046.XSHE,泛海控股,2022-02-25,9353161260.0
36,000048.XSHE,京基智农,2022-02-25,11129299911.0
37,000049.XSHE,德赛电池,2022-02-25,13120063310.0
38,000050.XSHE,深天马A,2022-02-25,28952267906.0
39,000055.XSHE,方大集团,2022-02-25,4843172642.0
40,000056.XSHE,皇庭国际,2022-02-25,10335852560.0
41,000058.XSHE,深赛格,2022-02-25,7661069060.0
42,000059.XSHE,华锦股份,2022-02-25,11499991575.0
43,000060.XSHE,中金岭南,2022-02-25,18323173692.0
44,000061.XSHE,农产品,2022-02-25,10113906632.0
45,000062.XSHE,深圳华强,2022-02-25,15584050060.0
46,000063.XSHE,中兴通讯,2022-02-25,1.38164618e+11
47,000065.XSHE,北方国际,2022-02-25,6908392820.0
48,000066.XSHE,中国长城,2022-02-25,42838612048.0
49,000068.XSHE,华控赛格,2022-02-25,3201215370.0
50,000069.XSHE,华侨城A,2022-02-25,56592377910.0
